appid,title,genres,developers,publishers,tags,release_year,short_description
10,Counter-Strike,Action,Valve,Valve,"Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Color Alternatives,Custom Volume Controls,Keyboard Only Option,Stereo Sound,Valve Anti-Cheat enabled,Family Sharing",2000,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.
20,Team Fortress Classic,Action,Valve,Valve,"Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Custom Volume Controls,Keyboard Only Option,Stereo Sound,Valve Anti-Cheat enabled,Remote Play Together,Family Sharing",1999,"One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes."
30,Day of Defeat,Action,Valve,Valve,"Multi-player,Camera Comfort,Color Alternatives,Custom Volume Controls,Stereo Sound,Valve Anti-Cheat enabled,Family Sharing",2003,"Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations."
40,Deathmatch Classic,Action,Valve,Valve,"Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Color Alternatives,Custom Volume Controls,Keyboard Only Option,Stereo Sound,Valve Anti-Cheat enabled,Remote Play Together,Family Sharing",2001,"Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings."
50,Half-Life: Opposing Force,Action,Gearbox Software,Valve,"Single-player,Multi-player,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Valve Anti-Cheat enabled,Family Sharing",1999,"Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences."
60,Ricochet,Action,Valve,Valve,"Multi-player,PvP,Online PvP,Custom Volume Controls,Keyboard Only Option,Stereo Sound,Valve Anti-Cheat enabled,Family Sharing",2000,"A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas."
70,Half-Life,Action,Valve,Valve,"Single-player,Multi-player,PvP,Online PvP,Full controller support,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Playable without Timed Input,Save Anytime,Stereo Sound,Steam Cloud,Valve Anti-Cheat enabled,Remote Play on Phone,Remote Play on Tablet,Family Sharing",1998,"Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world."
80,Counter-Strike: Condition Zero,Action,Valve,Valve,"Single-player,Multi-player,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Stereo Sound,Valve Anti-Cheat enabled,Family Sharing",2004,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content."
100,Counter-Strike: Condition Zero,Action,Valve,Valve,"Single-player,Multi-player,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Stereo Sound,Valve Anti-Cheat enabled,Family Sharing",2004,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content."
130,Half-Life: Blue Shift,Action,Gearbox Software,Valve,"Single-player,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Family Sharing",2001,"Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations."
